Administrative Counties,Single Year of Age,Female,Male,Difference (Female - Male)
Carlow County Council,30,338,367,-29
Carlow County Council,31,390,349,41
Carlow County Council,32,384,362,22
Carlow County Council,33,384,366,18
Carlow County Council,34,414,360,54
Carlow County Council,35,446,387,59
Carlow County Council,36,438,397,41
Carlow County Council,37,457,451,6
Carlow County Council,38,483,465,18
Carlow County Council,39,553,453,100
Carlow County Council,40,487,494,-7
Cavan County Council,30,425,416,9
Cavan County Council,31,457,450,7
Cavan County Council,32,530,466,64
Cavan County Council,33,489,466,23
Cavan County Council,34,513,475,38
Cavan County Council,35,560,519,41
Cavan County Council,36,602,549,53
Cavan County Council,37,604,578,26
Cavan County Council,38,684,583,101
Cavan County Council,39,656,641,15
Cavan County Council,40,630,633,-3
Clare County Council,30,627,582,45
Clare County Council,31,708,623,85
Clare County Council,32,688,642,46
Clare County Council,33,695,643,52
Clare County Council,34,741,714,27
Clare County Council,35,787,729,58
Clare County Council,36,828,765,63
Clare County Council,37,923,788,135
Clare County Council,38,955,863,92
Clare County Council,39,945,829,116
Clare County Council,40,999,907,92
Cork City Council,30,1734,1703,31
Cork City Council,31,1814,1767,47
Cork City Council,32,1837,1727,110
Cork City Council,33,1705,1633,72
Cork City Council,34,1774,1636,138
Cork City Council,35,1780,1687,93
Cork City Council,36,1760,1701,59
Cork City Council,37,1872,1759,113
Cork City Council,38,1737,1728,9
Cork City Council,39,1858,1721,137
Cork City Council,40,1879,1750,129
Cork County Council,30,1873,1672,201
Cork County Council,31,1970,1725,245
Cork County Council,32,2050,1791,259
Cork County Council,33,2023,1910,113
Cork County Council,34,2216,2038,178
Cork County Council,35,2430,2181,249
Cork County Council,36,2584,2198,386
Cork County Council,37,2611,2355,256
Cork County Council,38,2723,2461,262
Cork County Council,39,3007,2631,376
Cork County Council,40,3058,2744,314
Donegal County Council,30,906,788,118
Donegal County Council,31,892,831,61
Donegal County Council,32,936,927,9
Donegal County Council,33,961,868,93
Donegal County Council,34,1077,946,131
Donegal County Council,35,1057,959,98
Donegal County Council,36,1107,1005,102
Donegal County Council,37,1115,991,124
Donegal County Council,38,1119,1036,83
Donegal County Council,39,1237,1121,116
Donegal County Council,40,1293,1149,144
Dublin City Council,30,6178,6163,15
Dublin City Council,31,6079,6287,-208
Dublin City Council,32,5964,6080,-116
Dublin City Council,33,5700,5734,-34
Dublin City Council,34,5545,5503,42
Dublin City Council,35,5444,5488,-44
Dublin City Council,36,5218,5401,-183
Dublin City Council,37,4902,5208,-306
Dublin City Council,38,5053,5083,-30
Dublin City Council,39,4939,4959,-20
Dublin City Council,40,4809,4961,-152
Dún Laoghaire Rathdown County Council,30,1601,1511,90
Dún Laoghaire Rathdown County Council,31,1555,1510,45
Dún Laoghaire Rathdown County Council,32,1649,1516,133
Dún Laoghaire Rathdown County Council,33,1581,1442,139
Dún Laoghaire Rathdown County Council,34,1556,1488,68
Dún Laoghaire Rathdown County Council,35,1548,1506,42
Dún Laoghaire Rathdown County Council,36,1677,1511,166
Dún Laoghaire Rathdown County Council,37,1694,1543,151
Dún Laoghaire Rathdown County Council,38,1801,1644,157
Dún Laoghaire Rathdown County Council,39,1878,1667,211
Dún Laoghaire Rathdown County Council,40,1910,1736,174
Fingal County Council,30,2088,1888,200
Fingal County Council,31,2180,2061,119
Fingal County Council,32,2240,2088,152
Fingal County Council,33,2439,2157,282
Fingal County Council,34,2599,2188,411
Fingal County Council,35,2691,2321,370
Fingal County Council,36,2843,2484,359
Fingal County Council,37,2808,2528,280
Fingal County Council,38,2926,2682,244
Fingal County Council,39,3147,2780,367
Fingal County Council,40,3131,2973,158
Galway City Council,30,725,677,48
Galway City Council,31,705,759,-54
Galway City Council,32,699,655,44
Galway City Council,33,628,594,34
Galway City Council,34,721,611,110
Galway City Council,35,667,610,57
Galway City Council,36,707,625,82
Galway City Council,37,657,650,7
Galway City Council,38,707,624,83
Galway City Council,39,747,644,103
Galway City Council,40,687,707,-20
Galway County Council,30,990,813,177
Galway County Council,31,972,958,14
Galway County Council,32,1047,907,140
Galway County Council,33,1100,996,104
Galway County Council,34,1177,1056,121
Galway County Council,35,1292,1139,153
Galway County Council,36,1301,1193,108
Galway County Council,37,1354,1243,111
Galway County Council,38,1485,1266,219
Galway County Council,39,1534,1407,127
Galway County Council,40,1652,1443,209
Kerry County Council,30,799,792,7
Kerry County Council,31,813,772,41
Kerry County Council,32,843,854,-11
Kerry County Council,33,919,755,164
Kerry County Council,34,907,817,90
Kerry County Council,35,1002,860,142
Kerry County Council,36,1032,992,40
Kerry County Council,37,1122,948,174
Kerry County Council,38,1220,1033,187
Kerry County Council,39,1229,1022,207
Kerry County Council,40,1239,1112,127
Kildare County Council,30,1488,1372,116
Kildare County Council,31,1594,1396,198
Kildare County Council,32,1551,1462,89
Kildare County Council,33,1665,1522,143
Kildare County Council,34,1780,1563,217
Kildare County Council,35,1864,1722,142
Kildare County Council,36,2015,1733,282
Kildare County Council,37,2009,1837,172
Kildare County Council,38,2114,1889,225
Kildare County Council,39,2246,2085,161
Kildare County Council,40,2276,2090,186
Kilkenny County Council,30,552,513,39
Kilkenny County Council,31,614,599,15
Kilkenny County Council,32,572,578,-6
Kilkenny County Council,33,568,563,5
Kilkenny County Council,34,636,594,42
Kilkenny County Council,35,741,634,107
Kilkenny County Council,36,717,625,92
Kilkenny County Council,37,708,657,51
Kilkenny County Council,38,803,683,120
Kilkenny County Council,39,832,756,76
Kilkenny County Council,40,776,810,-34
Laois County Council,30,517,470,47
Laois County Council,31,512,509,3
Laois County Council,32,530,559,-29
Laois County Council,33,583,538,45
Laois County Council,34,631,548,83
Laois County Council,35,698,655,43
Laois County Council,36,717,667,50
Laois County Council,37,737,704,33
Laois County Council,38,820,718,102
Laois County Council,39,839,762,77
Laois County Council,40,814,747,67
Leitrim County Council,30,172,164,8
Leitrim County Council,31,211,155,56
Leitrim County Council,32,217,163,54
Leitrim County Council,33,206,173,33
Leitrim County Council,34,217,192,25
Leitrim County Council,35,227,216,11
Leitrim County Council,36,240,211,29
Leitrim County Council,37,234,211,23
Leitrim County Council,38,252,231,21
Leitrim County Council,39,253,242,11
Leitrim County Council,40,271,245,26
Limerick City & County Council,30,1265,1250,15
Limerick City & County Council,31,1317,1205,112
Limerick City & County Council,32,1356,1316,40
Limerick City & County Council,33,1313,1310,3
Limerick City & County Council,34,1424,1314,110
Limerick City & County Council,35,1468,1404,64
Limerick City & County Council,36,1593,1419,174
Limerick City & County Council,37,1555,1468,87
Limerick City & County Council,38,1594,1521,73
Limerick City & County Council,39,1690,1540,150
Limerick City & County Council,40,1657,1637,20
Longford County Council,30,287,263,24
Longford County Council,31,252,232,20
Longford County Council,32,271,267,4
Longford County Council,33,288,261,27
Longford County Council,34,337,291,46
Longford County Council,35,317,296,21
Longford County Council,36,347,331,16
Longford County Council,37,345,275,70
Longford County Council,38,378,333,45
Longford County Council,39,388,337,51
Longford County Council,40,409,396,13
Louth County Council,30,801,769,32
Louth County Council,31,880,796,84
Louth County Council,32,873,782,91
Louth County Council,33,922,814,108
Louth County Council,34,941,890,51
Louth County Council,35,1044,868,176
Louth County Council,36,1034,946,88
Louth County Council,37,1044,878,166
Louth County Council,38,1127,964,163
Louth County Council,39,1092,1001,91
Louth County Council,40,1170,1119,51
Mayo  County Council,30,696,657,39
Mayo  County Council,31,737,719,18
Mayo  County Council,32,763,667,96
Mayo  County Council,33,758,761,-3
Mayo  County Council,34,856,778,78
Mayo  County Council,35,871,821,50
Mayo  County Council,36,909,871,38
Mayo  County Council,37,973,899,74
Mayo  County Council,38,963,892,71
Mayo  County Council,39,1033,959,74
Mayo  County Council,40,1126,943,183
Meath County Council,30,1256,1097,159
Meath County Council,31,1331,1252,79
Meath County Council,32,1427,1254,173
Meath County Council,33,1402,1253,149
Meath County Council,34,1556,1350,206
Meath County Council,35,1652,1504,148
Meath County Council,36,1723,1526,197
Meath County Council,37,1731,1601,130
Meath County Council,38,1852,1605,247
Meath County Council,39,1858,1752,106
Meath County Council,40,1927,1787,140
Monaghan County Council,30,350,382,-32
Monaghan County Council,31,383,355,28
Monaghan County Council,32,372,341,31
Monaghan County Council,33,401,300,101
Monaghan County Council,34,417,422,-5
Monaghan County Council,35,444,406,38
Monaghan County Council,36,473,421,52
Monaghan County Council,37,452,472,-20
Monaghan County Council,38,490,466,24
Monaghan County Council,39,543,500,43
Monaghan County Council,40,518,477,41
Offaly County Council,30,493,447,46
Offaly County Council,31,482,443,39
Offaly County Council,32,476,447,29
Offaly County Council,33,490,444,46
Offaly County Council,34,532,503,29
Offaly County Council,35,528,546,-18
Offaly County Council,36,581,521,60
Offaly County Council,37,598,563,35
Offaly County Council,38,611,564,47
Offaly County Council,39,668,581,87
Offaly County Council,40,706,691,15
Roscommon County Council,30,360,315,45
Roscommon County Council,31,385,343,42
Roscommon County Council,32,355,381,-26
Roscommon County Council,33,373,359,14
Roscommon County Council,34,399,383,16
Roscommon County Council,35,476,420,56
Roscommon County Council,36,459,465,-6
Roscommon County Council,37,518,431,87
Roscommon County Council,38,513,492,21
Roscommon County Council,39,509,470,39
Roscommon County Council,40,556,489,67
Sligo County Council,30,334,334,0
Sligo County Council,31,361,334,27
Sligo County Council,32,381,361,20
Sligo County Council,33,432,321,111
Sligo County Council,34,416,370,46
Sligo County Council,35,441,399,42
Sligo County Council,36,491,444,47
Sligo County Council,37,515,423,92
Sligo County Council,38,523,493,30
Sligo County Council,39,514,509,5
Sligo County Council,40,538,491,47
South Dublin County Council,30,2002,1819,183
South Dublin County Council,31,2065,1898,167
South Dublin County Council,32,2161,1887,274
South Dublin County Council,33,2184,1895,289
South Dublin County Council,34,2330,2040,290
South Dublin County Council,35,2409,2054,355
South Dublin County Council,36,2539,2304,235
South Dublin County Council,37,2541,2327,214
South Dublin County Council,38,2511,2418,93
South Dublin County Council,39,2797,2420,377
South Dublin County Council,40,2822,2575,247
Tipperary County Council,30,917,827,90
Tipperary County Council,31,908,867,41
Tipperary County Council,32,947,867,80
Tipperary County Council,33,945,884,61
Tipperary County Council,34,1024,939,85
Tipperary County Council,35,1175,982,193
Tipperary County Council,36,1135,1011,124
Tipperary County Council,37,1140,1019,121
Tipperary County Council,38,1194,1124,70
Tipperary County Council,39,1300,1136,164
Tipperary County Council,40,1297,1226,71
Waterford City & County Council,30,715,719,-4
Waterford City & County Council,31,749,712,37
Waterford City & County Council,32,779,771,8
Waterford City & County Council,33,776,686,90
Waterford City & County Council,34,846,711,135
Waterford City & County Council,35,938,807,131
Waterford City & County Council,36,905,832,73
Waterford City & County Council,37,889,823,66
Waterford City & County Council,38,954,851,103
Waterford City & County Council,39,977,851,126
Waterford City & County Council,40,978,898,80
Westmeath County Council,30,575,523,52
Westmeath County Council,31,590,602,-12
Westmeath County Council,32,633,562,71
Westmeath County Council,33,607,582,25
Westmeath County Council,34,663,575,88
Westmeath County Council,35,731,666,65
Westmeath County Council,36,780,722,58
Westmeath County Council,37,719,719,0
Westmeath County Council,38,794,657,137
Westmeath County Council,39,757,758,-1
Westmeath County Council,40,781,723,58
Wexford County Council,30,940,877,63
Wexford County Council,31,914,945,-31
Wexford County Council,32,976,906,70
Wexford County Council,33,1009,821,188
Wexford County Council,34,1058,961,97
Wexford County Council,35,1152,986,166
Wexford County Council,36,1122,1009,113
Wexford County Council,37,1175,1002,173
Wexford County Council,38,1239,1067,172
Wexford County Council,39,1230,1078,152
Wexford County Council,40,1347,1172,175
Wicklow County Council,30,837,688,149
Wicklow County Council,31,890,783,107
Wicklow County Council,32,875,827,48
Wicklow County Council,33,943,837,106
Wicklow County Council,34,981,865,116
Wicklow County Council,35,1060,923,137
Wicklow County Council,36,1153,949,204
Wicklow County Council,37,1191,1076,115
Wicklow County Council,38,1277,1077,200
Wicklow County Council,39,1336,1137,199
Wicklow County Council,40,1400,1176,224
